make,model,price_value,price_currency,year,engine,mileage_km,city,url
Toyota,RAV4,66000.0,AZN,2025,2.5 L,0,Bakı,https://turbo.az/autos/9895746-toyota-rav4
Toyota,Land Cruiser Prado,80750.0,AZN,2018,3.0 L,144000,Bakı,https://turbo.az/autos/10398199-toyota-land-cruiser-prado
BMW,X5,49300.0,AZN,2016,3.0 L,252667,Bakı,https://turbo.az/autos/10501846-bmw-x5
Toyota,Camry,49500.0,AZN,2024,2.5 L,66500,Bakı,https://turbo.az/autos/10544058-toyota-camry
Mercedes,X 250D 4MATIC,59500.0,AZN,2018,2.3 L,179000,Bakı,https://turbo.az/autos/10554954-mercedes-x-250d-4matic
Opel,Astra,7900.0,AZN,2006,1.3 L,409000,Bakı,https://turbo.az/autos/10611283-opel-astra
Chevrolet,Cruze,16800.0,AZN,2015,1.8 L,213569,Bakı,https://turbo.az/autos/10627324-chevrolet-cruze
Kia,Sorento,48000.0,AZN,2023,1.6 L,162000,Bakı,https://turbo.az/autos/10589409-kia-sorento
Kia,Sorento,73500.0,AZN,2023,1.6 L,46500,Bakı,https://turbo.az/autos/10636217-kia-sorento
Nissan,Patrol,244999.0,AZN,2026,3.5 L,0,Bakı,https://turbo.az/autos/10369857-nissan-patrol
Land,Rover Range Rover,86700.0,AZN,2020,3.0 L,112000,Bakı,https://turbo.az/autos/10603769-land-rover-range-rover
Toyota,Prius,15900.0,AZN,2006,1.5 L,358000,Bakı,https://turbo.az/autos/10538895-toyota-prius
LADA,(VAZ) 2115,10500.0,AZN,2009,1.6 L,130000,Şamaxı,https://turbo.az/autos/10636235-lada-vaz-2115
LADA,(VAZ) 2106,3800.0,AZN,2004,1.6 L,100000,Bakı,https://turbo.az/autos/10636234-lada-vaz-2106
Chevrolet,Equinox,22900.0,AZN,2019,1.5 L,183000,Şəmkir,https://turbo.az/autos/10577187-chevrolet-equinox
Changan,CS 75 Plus,42500.0,AZN,2026,1.5 L,0,Bakı,https://turbo.az/autos/10636238-changan-cs-75-plus
BMW,530e,41200.0,AZN,2017,2.0 L,126486,Bakı,https://turbo.az/autos/10608597-bmw-530e
Land,Rover Range Rover,61800.0,AZN,2016,3.0 L,132000,Bakı,https://turbo.az/autos/10601453-land-rover-range-rover
BMW,530,51200.0,AZN,2021,2.0 L,150000,Bakı,https://turbo.az/autos/10618870-bmw-530
Volkswagen,Passat,4700.0,AZN,2002,1.8 L,318000,Bakı,https://turbo.az/autos/10636160-volkswagen-passat
Opel,Astra,10300.0,AZN,2008,1.3 L,338800,Bakı,https://turbo.az/autos/10516523-opel-astra
BMW,XM 50e,289000.0,AZN,2025,3.0 L,0,Bakı,https://turbo.az/autos/9723285-bmw-xm-50e
Volkswagen,Jetta,11550.0,AZN,2011,2.5 L,161000,Bakı,https://turbo.az/autos/10618889-volkswagen-jetta
Ford,Fusion (North America),14900.0,AZN,2015,1.5 L,194000,Masallı,https://turbo.az/autos/10579611-ford-fusion-north-america
Hyundai,Elantra,19400.0,AZN,2017,2.0 L,193121,Bakı,https://turbo.az/autos/10599055-hyundai-elantra
